,Unnamed: 0,recordId,priority,district,description,callNumber,incidentLocation,Latitude,Longitude,date
171705,885000,2475217,Low,SE,AUTO ACCIDENT,P171291474,6100 BESSEMER AV,39.275375,-76.543508,2017-05-09
171707,885002,2499335,Low,ED,AUTO ACCIDENT,P171372966,5000 PULASKI HY,39.299476,-76.555307,2017-05-17
171730,885053,2487279,Low,NW,HIT AND RUN,P171332364,3900 EDGEWOOD RD,39.331126,-76.67034699999999,2017-05-13
171764,885110,2518637,Low,SE,AUTO ACCIDENT,P171440612,4200 BOSTON ST,39.277285,-76.560058,2017-05-24
171802,885172,2469098,Low,SW,HIT AND RUN,P171270509,100 N HILTON ST,39.287075,-76.67236,2017-05-07
171825,885202,2495331,Low,SD,HIT AND RUN,P171362066,800 BRIDGEVIEW RD,39.248169,-76.62424,2017-05-16
171826,885203,2472904,Low,ND,HIT AND RUN,P171282098,3000 N CHARLES ST,39.325433000000004,-76.61764000000001,2017-05-08
171847,885229,2496049,Low,NE,AUTO ACCIDENT,P171362844,3800 MONTEREY RD,39.334152,-76.59739300000001,2017-05-16
171880,885275,2474686,Low,CD,AUTO ACCIDENT,P171290829,1100 BLK N CALVERT ST,39.302778,-76.613237,2017-05-09
171990,885453,2499103,Low,SW,AUTO ACCIDENT,P171372715,600 MT HOLLY ST,39.294103,-76.679801,2017-05-17
172017,885496,2470024,Low,SE,HIT AND RUN,P171271570,600 S BOULDIN ST,39.285458,-76.570693,2017-05-07
172029,885511,2466652,Low,SE,HIT AND RUN,P171260938,4600 FOSTER AV,39.284952000000004,-76.557182,2017-05-06
172062,885564,2560287,Low,ED,AUTO ACCIDENT,P171580532,600 N HAVEN ST,39.299279,-76.563241,2017-06-07
172085,885621,2484269,Low,NE,HIT AND RUN,P171322298,4400 MORAVIA RD,39.328274,-76.55720500000001,2017-05-12
172122,885703,2511210,Low,NW,AUTO ACCIDENT,P171411972,3200 REISTERSTOWN RD,39.323859999999996,-76.656578,2017-05-21
172156,885764,2526548,Low,NW,HIT AND RUN,P171462732,3900 FORDLEIGH RD,39.356278,-76.698127,2017-05-26
172175,885793,2526533,Low,NE,HIT AND RUN,P171462715,1200 COCHRAN AV,39.356451,-76.595359,2017-05-26
172199,885845,2505277,Low,SE,HIT AND RUN,P171392504,6100 FORTVIEW WY,39.277634,-76.54295,2017-05-19
172206,885853,2464430,Low,SE,HIT AND RUN,P171251721,3400 BOSTON ST,39.277153999999996,-76.56797399999999,2017-05-05
172213,885871,2457747,Low,NE,HIT AND RUN,P171230775,1700 WADSWORTH WY,39.361238,-76.58026600000001,2017-05-03
172230,885899,2477604,Low,ED,HIT AND RUN,P171300829,2100 HOMEWOOD AV,39.314025,-76.607276,2017-05-10
172300,886068,2503770,Low,SE,AUTO ACCIDENT,P171390774,5500 O DONNELL ST,39.281220000000005,-76.548358,2017-05-19
172410,886220,2549197,Low,NE,HIT AND RUN,P171541831,2700 CHESTERFIELD AV,39.327346,-76.573305,2017-06-03
172414,886225,2537048,Low,SW,HIT AND RUN,P171501618,100 S MORLEY ST,39.284979,-76.675895,2017-05-30
172493,886331,2554900,Low,SW,HIT AND RUN,P171561469,2300 WILKENS AV,39.280341,-76.651927,2017-06-05
172504,886347,2521996,Low,CD,AUTO ACCIDENT,P171450976,SB I 100 S/E PLEASANT ST,39.2936,-76.61330600000001,2017-05-25
172517,886361,2556048,Low,ED,HIT AND RUN,P171562752,1200 N LUZERNE AV,39.304927,-76.581253,2017-06-05
172520,886367,2514023,Low,ND,AUTO ACCIDENT,P171422219,3000 OAKFORD AV,39.341496,-76.664315,2017-05-22
172546,886401,2538107,Low,SE,HIT AND RUN,P171502798,400 BONSAL ST,39.288837,-76.54571899999999,2017-05-30
172555,886411,2511102,Low,ND,HIT AND RUN,P171411876,1400 W COLD SPRING LN,39.3444,-76.64177,2017-05-21
172644,886532,2554096,Low,SW,AUTO ACCIDENT,P171560576,500 N ATHOL AV,39.290987,-76.689237,2017-06-05
172716,886632,2513234,Low,NE,HIT AND RUN,P171421334,1700 HOMESTEAD ST,39.320319,-76.59467,2017-05-22
172762,886695,2543327,Low,SW,AUTO ACCIDENT,P171521980,2100 BLK ASHTON ST,39.282338,-76.649737,2017-06-01
172767,886700,2526653,Low,NE,HIT AND RUN,P171462851,2800 FLEETWOOD AV,39.363844,-76.55689,2017-05-26
172795,886738,2541998,Low,SE,AUTO ACCIDENT,P171520456,800 S MACON ST,39.28392,-76.55709300000001,2017-06-01
172805,886750,2551926,Low,NE,HIT AND RUN,P171551328,3200 BELAIR RD,39.320815,-76.57455999999999,2017-06-04
172837,886792,2547144,Low,ED,AUTO ACCIDENT,P171532684,200 N GAY ST,39.292792999999996,-76.608551,2017-06-02
172841,886799,2534206,Low,SW,HIT AND RUN,P171491375,3600 HARLEM AV,39.295214,-76.67774,2017-05-29
172871,886842,2510835,Low,SW,AUTO ACCIDENT,P171411557,2500 MCHENRY ST,39.283879,-76.65612800000001,2017-05-21
172872,886844,2570547,Low,NE,HIT AND RUN,P171611533,2600 MOORE AV,39.370669,-76.556481,2017-06-10
173013,887060,2517084,Low,ED,AUTO ACCIDENT,P171432395,800 N LUZERNE AV,39.300303,-76.580966,2017-05-23
173033,887085,2601954,Low,NE,HIT AND RUN,P171713012,4400 KAVON AV,39.32819,-76.56222199999999,2017-06-20
173065,887131,2655530,Low,SD,HIT AND RUN,P171892453,3600 5TH ST,39.236396,-76.604045,2017-07-08
173105,887194,2567997,Low,ND,AUTO ACCIDENT,P171602444,NB I 100 N/W NORTHERN PY,39.311132,-76.618077,2017-06-09
173117,887214,2606288,Low,SE,HIT AND RUN,P171730977,3400 BOSTON ST,39.277153999999996,-76.56797399999999,2017-06-22
173151,887265,2613329,Low,NE,HIT AND RUN,P171752023,6000 AMBERWOOD RD,39.316759999999995,-76.54289,2017-06-24
173172,887295,2620850,Low,ED,HIT AND RUN,P171780879,2300 E MADISON ST,39.299806,-76.584734,2017-06-27
173219,887359,2606600,Low,SE,HIT AND RUN,P171731333,2600 MOORINGS CT,39.278731,-76.579639,2017-06-22
173227,887367,2573037,Low,NE,HIT AND RUN,P171620875,2600 MOORE AV,39.370669,-76.556481,2017-06-11
173274,887427,2618566,Low,NE,AUTO ACCIDENT,P171771594,4200 FRANKFORD AV,39.338073,-76.551636,2017-06-26
173298,887456,2568192,Low,NE,HIT AND RUN,P171602666,3100 NORTHWAY DR,39.362994,-76.548434,2017-06-09
173323,887506,2642860,Low,NE,AUTO ACCIDENT,P171851888,5500 HAMLET AV,39.356253,-76.56485699999999,2017-07-04
173349,887553,2598593,Low,NE,HIT AND RUN,P171702470,4400 GREEN ROSE LN,39.310916999999996,-76.562855,2017-06-19
173355,887561,2582678,Low,SE,AUTO ACCIDENT,P171651891,2700 BOSTON ST,39.279072,-76.577606,2017-06-14
173365,887582,2617850,Low,NE,HIT AND RUN,P171770780,3000 CHESLEY AV,39.365621999999995,-76.549922,2017-06-26
173413,887665,2567405,Low,CD,HIT AND RUN,P171601792,200 W LAFAYETTE AV,39.306643,-76.624326,2017-06-09
173469,887758,2610221,Low,CD,AUTO ACCIDENT,P171742041,600 BLK W BALTIMORE ST,39.289136,-76.625047,2017-06-23
173475,887765,2573947,Low,NE,HIT AND RUN,P171621866,2600 MOORE AV,39.370669,-76.556481,2017-06-11
173491,887793,2620764,Low,ND,AUTO ACCIDENT,P171780773,2300 N HOWARD ST,39.315278,-76.619558,2017-06-27
173581,887949,2640176,Low,WD,HIT AND RUN,P171842346,1500 BLK N BENTALOU ST,39.304961999999996,-76.653805,2017-07-03
173603,887978,2617758,Low,NE,AUTO ACCIDENT,P171770654,3800 CRESTLYN RD,39.335982,-76.59764399999999,2017-06-26
173626,888008,2598093,Low,SE,HIT AND RUN,P171701891,600 N CURLEY ST,39.298315,-76.575898,2017-06-19
173825,888274,2699626,Low,SE,AUTO ACCIDENT,P172050438,6200 EASTERN AV,39.287627,-76.542675,2017-07-24
