,Unnamed: 0,recordId,priority,district,description,callNumber,incidentLocation,Latitude,Longitude,date
579471,3273811,2648521,Medium,WD,NARCOTICSOutside,P171871156,1300 BLK WHATCOAT ST,39.303715000000004,-76.641137,2017-07-06
322198,1759260,3251644,Medium,SE,NARCOTICSOutside,P180520383,400-408 S REGESTER ST,39.286823999999996,-76.59236700000001,2018-02-21
438299,2044255,3405113,Medium,NW,NARCOTICSOutside,P181122105,3200 SPAULDING AV,39.347842,-76.675517,2018-04-22
701660,3741855,2862996,Medium,SW,NARCOTICS INSIDE,P172632735,4600 EDMONDSON AV,39.293406,-76.693881,2017-09-20
216657,1494676,2696232,Medium,CD,NARCOTICS INSIDE,P172032571,300 N EUTAW ST,39.293031,-76.621163,2017-07-22
127732,611637,3186645,Medium,WD,NARCOTICSOutside,P180252837,1500 TRACTION ST,39.311005,-76.642471,2018-01-25
412854,1971311,3388404,Medium,SD,NARCOTICS INSIDE,P181061523,1600 CEDDOX ST,39.221148,-76.588066,2018-04-16
664177,3576893,3035149,Medium,NW,NARCOTICSOutside,P173280982,6500 REISTERSTOWN RD,39.356513,-76.702964,2017-11-24
350150,1812716,3302671,Medium,WD,NARCOTICSOutside,P180721644,1000 BLK W SARATOGA ST,39.292442,-76.63417199999999,2018-03-13
185223,1147730,2611395,Medium,SD,NARCOTICSOutside,P171743363,400 S PAYSON ST,39.282792,-76.64836,2017-06-23
500434,2899305,3000744,Medium,NE,NARCOTICSOutside,P173141006,2600 POLK ST,39.319864,-76.595345,2017-11-10
622672,3393636,3138645,Medium,WD,NARCOTICSOutside,P180070940,1400 BLK PRESSTMAN ST,39.305482,-76.640793,2018-01-07
297144,1682817,3217690,Medium,SE,NARCOTICSOutside,P180372884,6400 O DONNELL ST,39.281621,-76.538196,2018-02-06
117636,598543,2776999,Medium,SD,NARCOTICSOutside,P172321216,1500 PLUM ST,39.228253,-76.590252,2017-08-20
615591,3386537,2932916,Medium,WD,NARCOTICS INSIDE,P172882732,1600 N SMALLWOOD ST,39.306561,-76.652511,2017-10-15
697121,3737299,2717729,Medium,ED,NARCOTICSOutside,P172111134,2600 E MONUMENT ST,39.2989,-76.580712,2017-07-30
723828,3826785,2861156,Medium,WD,NARCOTICSOutside,P172630625,2000 W BALTIMORE ST,39.288027,-76.64863299999999,2017-09-20
659047,3571738,2889736,Medium,NW,NARCOTICS INSIDE,P172730845,3800 W BELVEDERE AV,39.344787,-76.68186800000001,2017-09-30
314479,1722708,3240439,Medium,SW,NARCOTICS INSIDE,P180471721,3300 CLIFTON AV,39.311048,-76.672608,2018-02-16
354040,1823034,3297945,Medium,SD,NARCOTICSOutside,P180701661,1300 SARGEANT ST,39.280776,-76.63611,2018-03-11
19184,63623,3164773,Medium,SE,NARCOTICSOutside,P180172358,200 S BROADWAY,39.289063,-76.593795,2018-01-17
174799,889788,2788154,Medium,SD,NARCOTICSOutside,P172360982,1000 W LOMBARD ST,39.286752,-76.633785,2017-08-24
139339,707673,2805634,Medium,NW,NARCOTICSOutside,P172422020,4400 PARK HEIGHTS AV,39.340407,-76.66703299999999,2017-08-30
388742,1909395,3340672,Medium,SW,NARCOTICSOutside,P180882154,2700 WILKENS AV,39.278036,-76.658804,2018-03-29
334951,1780272,3246556,Medium,WD,NARCOTICSOutside,P180500444,900 N MONROE ST,39.299101,-76.647544,2018-02-19
529280,3076422,2499744,Medium,SW,NARCOTICSOutside,P171373443,2700 WILKENS AV,39.27802,-76.658845,2017-05-17
146989,717578,3088857,Medium,SW,NARCOTICSOutside,P173502854,2700 WILKENS AV,39.27802,-76.658845,2017-12-16
668190,3580921,3172250,Medium,WD,NARCOTICSOutside,P180201912,900 N MONROE ST,39.299101,-76.647544,2018-01-20
554173,3171817,2571810,Medium,NW,NARCOTICSOutside,P171612913,4700 LIBERTY HEIGHTS AV,39.331412,-76.695828,2017-06-10
62612,347930,2483143,Medium,ND,NARCOTICSOutside,P171321009,1200 WOODBOURNE AV,39.354074,-76.59787800000001,2017-05-12
437565,2041944,3404297,Medium,CD,NARCOTICSOutside,P181121261,1800 PENNSYLVANIA AV,39.3044,-76.635728,2018-04-22
476598,2805925,2923570,Medium,SW,NARCOTICSOutside,P172851418,2700 WILKENS AV,39.27802,-76.658845,2017-10-12
442502,2058845,3410694,Medium,SW,NARCOTICSOutside,P181142474,2700 WILKENS AV,39.278036,-76.658804,2018-04-24
585016,3279399,2794901,Medium,NW,NARCOTICSOutside,P172381966,2900 GARRISON BL,39.320535,-76.677358,2017-08-26
79743,370694,3016535,Medium,NE,NARCOTICS INSIDE,P173202146,2300 E NORTHERN PY,39.368559000000005,-76.567428,2017-11-16
642849,3483968,3065893,Medium,NW,NARCOTICS INSIDE,P173402558,4400 PARK HEIGHTS AV,39.340407,-76.66703299999999,2017-12-06
536902,3084081,2758746,Medium,CD,NARCOTICSOutside,P172260013,1800 PENNSYLVANIA AV,39.304429999999996,-76.635769,2017-08-14
630724,3471813,2655318,Medium,NW,NARCOTICSOutside,P171892192,2900 GARRISON BL,39.320535,-76.677358,2017-07-08
364483,1847887,3307805,Medium,ED,NARCOTICS INSIDE,P180741871,2500 E MONUMENT ST,39.298843,-76.582305,2018-03-15
672224,3650167,2576647,Medium,NW,NARCOTICSOutside,P171631893,4400 PARK HEIGHTS AV,39.340407,-76.66703299999999,2017-06-12
406664,1961160,3364654,Medium,SW,NARCOTICS INSIDE,P180971891,4100 FREDERICK AV,39.281712,-76.68343399999999,2018-04-07
612939,3383875,2860927,Medium,NW,NARCOTICSOutside,P172630352,3900 DORCHESTER RD,39.329496,-76.683274,2017-09-20
124001,606780,3002378,Medium,SD,NARCOTICSOutside,P173142843,500 E PATAPSCO AV,39.236714,-76.60361400000001,2017-11-10
405688,1959842,3367342,Medium,SW,NARCOTICSOutside,P180982016,4100 FREDERICK AV,39.281712,-76.68343399999999,2018-04-08
132841,699318,2569670,Medium,WD,NARCOTICSOutside,P171610528,1600 BLK VINCENT CT,39.307354,-76.643937,2017-06-10
538237,3085417,2775075,Medium,NW,NARCOTICSOutside,P172312240,5400 REISTERSTOWN RD,39.346255,-76.68826899999999,2017-08-19
499073,2897938,2985280,Medium,SD,NARCOTICSOutside,P173080872,1300 BLK W BALTIMORE ST,39.288503000000006,-76.638139,2017-11-04
354596,1824351,3300123,Medium,SW,NARCOTICS INSIDE,P180711521,4100 FREDERICK AV,39.281712,-76.68343399999999,2018-03-12
651589,3564257,2605005,Medium,ND,NARCOTICSOutside,P171723010,4700 YORK RD,39.34628,-76.60960899999999,2017-06-21
484138,2881480,2485265,Medium,CD,NARCOTICSOutside,P171330128,300 N EUTAW ST,39.293031,-76.621163,2017-05-13
487591,2886402,2582505,Medium,CD,NARCOTICSOutside,P171651697,1700 PENNSYLVANIA AV,39.304115,-76.635387,2017-06-14
678206,3656186,2814557,Medium,SE,NARCOTICSOutside,P172452331,2600 JEFFERSON ST,39.296826,-76.58032,2017-09-02
570320,3188015,3088088,Medium,ND,NARCOTICS INSIDE,P173501994,1100 RAMBLEWOOD RD,39.362564,-76.595039,2017-12-16
373065,1869413,3318738,Medium,NE,NARCOTICSOutside,P180782554,3300 BELAIR RD,39.321652,-76.57355799999999,2018-03-19
175419,890772,2920489,Medium,SW,NARCOTICS INSIDE,P172840997,2900 EDMONDSON AV,39.2944,-76.665086,2017-10-11
116784,597436,2732684,Medium,NE,NARCOTICSOutside,P172161712,6800 HARFORD RD,39.364527,-76.550881,2017-08-04
543851,3091052,2964385,Medium,SD,NARCOTICSOutside,P173001822,1900-1919 W LOMBARD ST,39.28613,-76.64694899999999,2017-10-27
29757,140956,2867981,Medium,NW,NARCOTICSOutside,P172652032,3500 BERWYN AV,39.328474,-76.683746,2017-09-22
571221,3188919,3123153,Medium,WD,NARCOTICSOutside,P173651446,1700 BLK N BENTALOU ST,39.307769,-76.653983,2017-12-31
167470,836212,2815633,Medium,SW,NARCOTICSOutside,P172460776,1000 PARKSLEY AV,39.274409999999996,-76.664445,2017-09-03
56047,249361,3043027,Medium,SW,NARCOTICSOutside,P173312382,1900 HARMAN AV,39.266851,-76.652212,2017-11-27
230194,1512674,2828912,Medium,SW,NARCOTICS INSIDE,P172511346,2400 BLK DENISON ST,39.314747,-76.67446,2017-09-08
226256,1507650,2785437,Medium,ND,NARCOTICS INSIDE,P172351194,400 E 39TH ST,39.336378,-76.60992399999999,2017-08-23
50075,241581,2858643,Medium,SE,NARCOTICSOutside,P172620967,6200 PLANTVIEW WY,39.277136,-76.54106,2017-09-19
40624,229052,2523569,Medium,SE,NARCOTICS INSIDE,P171452790,200 S BROADWAY,39.289063,-76.593795,2017-05-25
102688,490649,3000995,Medium,SE,NARCOTICS INSIDE,P173141291,3200 LEVERTON AV,39.291816,-76.570893,2017-11-10
378988,1884160,3339252,Medium,ED,NARCOTICS INSIDE,P180880517,2400 E MONUMENT ST,39.298801,-76.583501,2018-03-29
531054,3078201,2539742,Medium,SW,NARCOTICSOutside,P171511313,4000 FREDERICK AV,39.281748,-76.68211600000001,2017-05-31
426922,2009416,3390078,Medium,SD,NARCOTICSOutside,P181070593,4100 BLK PASCAL AV,39.227948,-76.591623,2018-04-17
390225,1913713,3342323,Medium,WD,NARCOTICSOutside,P180890681,600 GOLD ST,39.307434,-76.63941,2018-03-30
86213,436772,2576952,Medium,ED,NARCOTICSOutside,P171632259,1900 BELAIR RD,39.312796,-76.583761,2017-06-12
727105,3830110,2944180,Medium,SE,NARCOTICSOutside,P172930636,1000 DUNDALK AV,39.282571000000004,-76.536438,2017-10-20
528043,3075017,2456044,Medium,CD,NARCOTICSOutside,P171222484,1800 PENNSYLVANIA AV,39.304429999999996,-76.635769,2017-05-02
303963,1698283,3225985,Medium,SD,NARCOTICSOutside,P180411304,400 BLK S GILMOR ST,39.282922,-76.642054,2018-02-10
217987,1496451,2710262,Medium,SD,NARCOTICS INSIDE,P172082443,2000 WILKENS AV,39.281684999999996,-76.64795,2017-07-27
314080,1721615,3239948,Medium,NE,NARCOTICSOutside,P180471153,6400 BIRCHWOOD AV,39.363031,-76.562442,2018-02-16
543503,3090703,2971790,Medium,SD,NARCOTICSOutside,P173031186,1000-1016 BOYD ST,39.287236,-76.634151,2017-10-30
630870,3471959,2677752,Medium,SW,NARCOTICS INSIDE,P171971527,3600 EDMONDSON AV,39.293991999999996,-76.677551,2017-07-16
732065,3835102,2760647,Medium,NW,NARCOTICSOutside,P172262193,4500 MAINE AV,39.329587,-76.69429000000001,2017-08-14
685855,3663936,3126582,Medium,SE,NARCOTICS INSIDE,P180020838,500 N KENWOOD AV,39.297234,-76.577936,2018-01-02
319761,1736577,3248470,Medium,WD,NARCOTICSOutside,P180502538,1600 VINCENT CT,39.307354,-76.643937,2018-02-19
639721,3480833,2948756,Medium,WD,NARCOTICS INSIDE,P172942511,1600 BRUCE CT,39.306668,-76.645656,2017-10-21
712474,3788164,2648971,Medium,CD,NARCOTICSOutside,P171871648,2000 LINDEN AV,39.311211,-76.633055,2017-07-06
646263,3487403,3168517,Medium,NE,NARCOTICS INSIDE,P180191054,3400 BELAIR RD,39.322408,-76.572563,2018-01-19
310908,1714186,3235965,Medium,SW,NARCOTICSOutside,P180452693,2700 WILKENS AV,39.278036,-76.658804,2018-02-14
399308,1937353,3353276,Medium,SW,NARCOTICSOutside,P180931463,4100 FREDERICK AV,39.281712,-76.68343399999999,2018-04-03
538003,3085183,2759609,Medium,SW,NARCOTICSOutside,P172261033,2000 FREDERICK AV,39.286172,-76.64871099999999,2017-08-14
705430,3745660,2997712,Medium,SE,NARCOTICSOutside,P173130642,500 N KENWOOD AV,39.297234,-76.577936,2017-11-09
726259,3829261,2872850,Medium,WD,NARCOTICSOutside,P172670992,1100 W BALTIMORE ST,39.288616999999995,-76.635913,2017-09-24
377826,1881491,3324478,Medium,WD,NARCOTICSOutside,P180811564,2400 BLK WOODBROOK AV,39.310138,-76.64112,2018-03-22
561583,3179246,2779667,Medium,WD,NARCOTICSOutside,P172331167,1500 APPLETON ST,39.30533,-76.648767,2017-08-21
537524,3084703,2760862,Medium,CD,NARCOTICSOutside,P172262424,1800 PENNSYLVANIA AV,39.304429999999996,-76.635769,2017-08-14
663188,3575904,3010334,Medium,WD,NARCOTICSOutside,P173181007,1800 BLK W LEXINGTON ST,39.290564,-76.64583499999999,2017-11-14
125910,609307,3105371,Medium,NW,NARCOTICSOutside,P173571219,3900 CHATHAM RD,39.330434999999994,-76.683276,2017-12-23
508333,2975832,2524303,Medium,SD,NARCOTICSOutside,P171460133,1900 OHIO AV,39.27985,-76.646512,2017-05-26
649938,3562596,2553270,Medium,SE,NARCOTICSOutside,P171552806,400 CORNWALL ST,39.288872999999995,-76.544785,2017-06-04
46616,237016,2745178,Medium,SE,NARCOTICSOutside,P172210352,1700 BLK E PRATT ST,39.289246999999996,-76.593631,2017-08-09
92065,476453,2597566,Medium,SW,NARCOTICSOutside,P171701302,1800 N ROSEDALE ST,39.308192,-76.669265,2017-06-19
327258,1769796,3267490,Medium,NW,NARCOTICSOutside,P180581109,3800 LIBERTY HEIGHTS AV,39.326434000000006,-76.67909399999999,2018-02-27
21944,130774,2507468,Medium,ED,NARCOTICSOutside,P171401284,1900 BELAIR RD,39.312796,-76.583761,2017-05-20
636669,3477775,2854197,Medium,WD,NARCOTICSOutside,P172601758,1900 CLIFTON AV,39.311919,-76.648308,2017-09-17
72394,360320,2786874,Medium,CD,NARCOTICSOutside,P172352804,600 N EUTAW ST,39.295864,-76.621328,2017-08-23
422288,1996322,3379477,Medium,ND,NARCOTICSOutside,P181030949,1100 E BELVEDERE AV,39.360559,-76.595433,2018-04-13
160626,796591,2668281,Medium,NE,NARCOTICSOutside,P171940904,3300 LYNDALE AV,39.316458000000004,-76.577097,2017-07-13
675997,3653960,2719893,Medium,SW,NARCOTICSOutside,P172120566,2700 WILKENS AV,39.27802,-76.658845,2017-07-31
571924,3189625,3151925,Medium,SW,NARCOTICSOutside,P180122104,1900 BLK GRIFFIS AV,39.267628,-76.650614,2018-01-12
575308,3269633,2498043,Medium,SD,NARCOTICSOutside,P171371502,2000 BLK EAGLE ST,39.280931,-76.647349,2017-05-17
700668,3740860,2836560,Medium,NE,NARCOTICSOutside,P172540535,6600 BIRCHWOOD AV,39.365044,-76.561278,2017-09-11
423797,1999936,3380785,Medium,NE,NARCOTICS INSIDE,P181032545,3400 BELAIR RD,39.322408,-76.572563,2018-04-13
247573,1535319,2979770,Medium,NE,NARCOTICS INSIDE,P173061068,3500 CLIFTMONT AV,39.319262,-76.565851,2017-11-02
447670,2077976,3417903,Medium,WD,NARCOTICSOutside,P181170871,1500 BLK N WOODYEAR ST,39.306521999999994,-76.640839,2018-04-27
92035,476405,2613021,Medium,ED,NARCOTICSOutside,P171751662,700 BLK E 20TH ST,39.312564,-76.608209,2017-06-24
340974,1795153,3264360,Medium,SW,NARCOTICSOutside,P180570524,2900 EDMONDSON AV,39.2944,-76.665086,2018-02-26
672958,3650905,2587447,Medium,ED,NARCOTICSOutside,P171670077,700 BLK N DUNCAN ST,39.299074,-76.587271,2017-06-16
27379,137826,2788741,Medium,NW,NARCOTICSOutside,P172361654,5300 BLK CORDELIA AV,39.347132,-76.68310699999999,2017-08-24
66080,352293,2573540,Medium,ED,NARCOTICSOutside,P171621435,700 N LUZERNE AV,39.29923,-76.580899,2017-06-11
717653,3805291,2823787,Medium,SE,NARCOTICSOutside,P172491448,3400 E BALTIMORE ST,39.292499,-76.569242,2017-09-06
163677,800570,2927116,Medium,SW,NARCOTICSOutside,P172862639,900 POPLAR GROVE ST,39.298173999999996,-76.665121,2017-10-13
555324,3172974,2604592,Medium,SW,NARCOTICSOutside,P171722556,1800 N ROSEDALE ST,39.308192,-76.669265,2017-06-21
637001,3478107,2868683,Medium,NW,NARCOTICS INSIDE,P172652825,4400 PARK HEIGHTS AV,39.340407,-76.66703299999999,2017-09-22
177659,894008,3140476,Medium,ED,NARCOTICSOutside,P180080874,2300 E PRESTON ST,39.305709,-76.585103,2018-01-08
211239,1487458,2653226,Medium,NE,NARCOTICSOutside,P171883084,2700 LOUISE AV,39.361465,-76.561459,2017-07-07
676703,3654672,2752317,Medium,SE,NARCOTICSOutside,P172232028,6600 BLK HOLABIRD AV,39.272449,-76.53367,2017-08-11
402114,1945641,3356764,Medium,SW,NARCOTICS INSIDE,P180942456,2700 WILKENS AV,39.278036,-76.658804,2018-04-04
449468,2083246,3418489,Medium,SD,NARCOTICSOutside,P181171546,3600 BLK ST VICTOR ST,39.234536999999996,-76.59657299999999,2018-04-27
149320,720543,3190828,Medium,ED,NARCOTICSOutside,P180271216,2300 AIKEN ST,39.315940000000005,-76.598451,2018-01-27
662599,3575301,2979909,Medium,SD,NARCOTICSOutside,P173061226,100 S PAYSON ST,39.285915,-76.648531,2017-11-02
135182,702356,2665661,Medium,WD,NARCOTICSOutside,P171931274,2300 MOSHER ST,39.299527000000005,-76.65401999999999,2017-07-12
686582,3664666,3143747,Medium,NE,NARCOTICS INSIDE,P180091711,5900 RADECKE AV,39.330693,-76.532031,2018-01-09
6611,47063,2712464,Medium,ED,NARCOTICS INSIDE,P172091561,300 N GAY ST,39.2933,-76.607987,2017-07-28
93019,477759,2667858,Medium,SD,NARCOTICSOutside,P171940414,1800 W LOMBARD ST,39.286226,-76.645077,2017-07-13
334798,1780063,3275946,Medium,NW,NARCOTICSOutside,P180611615,4700 LIBERTY HEIGHTS AV,39.331426,-76.69587,2018-03-02
177752,894318,3158776,Medium,SW,NARCOTICSOutside,P180151158,3300 W BALTIMORE ST,39.285795,-76.672607,2018-01-15
451904,2086425,3419667,Medium,SE,NARCOTICSOutside,P181172842,500 N CURLEY ST,39.29707,-76.57579399999999,2018-04-27
174565,889414,2777181,Medium,ND,NARCOTICS INSIDE,P172321409,4000 HICKORY AV,39.336853999999995,-76.635452,2017-08-20
119967,601520,2879503,Medium,SW,NARCOTICSOutside,P172692518,2700 WILKENS AV,39.27802,-76.658845,2017-09-26
511671,2979224,2657480,Medium,NW,NARCOTICSOutside,P171901456,4400 PARK HEIGHTS AV,39.340407,-76.66703299999999,2017-07-09
676075,3654039,2721344,Medium,WD,NARCOTICSOutside,P172122186,1400 W LAFAYETTE AV,39.298994,-76.640242,2017-07-31
374661,1873205,3320706,Medium,SW,NARCOTICS INSIDE,P180791935,4100 FREDERICK AV,39.281712,-76.68343399999999,2018-03-20
512426,2979980,2697819,Medium,SW,NARCOTICSOutside,P172041280,3100 W NORTH AV,39.308983000000005,-76.669488,2017-07-23
564204,3181885,2899063,Medium,CD,NARCOTICSOutside,P172762584,1800 PENNSYLVANIA AV,39.304429999999996,-76.635769,2017-10-03
61025,255983,3203364,Medium,SW,NARCOTICS INSIDE,P180320902,2700 WILKENS AV,39.27802,-76.658845,2018-02-01
327545,1770163,3254153,Medium,WD,NARCOTICS INSIDE,P180523214,1600 VINCENT CT,39.307354,-76.643937,2018-02-21
312418,1717544,3237723,Medium,WD,NARCOTICSOutside,P180461930,100 BLK N POPPLETON ST,39.290051,-76.63221800000001,2018-02-15
647315,3559968,2646819,Medium,SD,NARCOTICS INSIDE,P171862887,1300 CAMBRIA ST,39.232624,-76.5923,2017-07-05
31682,143481,2924705,Medium,SW,NARCOTICSOutside,P172852750,2700 WILKENS AV,39.27802,-76.658845,2017-10-12
469525,2798791,2637197,Medium,SD,NARCOTICSOutside,P171832050,1500-05 LIGHT ST,39.27263,-76.611723,2017-07-02
585459,3279843,2802749,Medium,WD,NARCOTICSOutside,P172411650,2400 BLK ETTING ST,39.310825,-76.640653,2017-08-29
412824,1971230,3388432,Medium,NE,NARCOTICS INSIDE,P181061597,3400 BELAIR RD,39.322408,-76.572563,2018-04-16
659561,3572252,2886496,Medium,SW,NARCOTICSOutside,P172720586,2100 GARRISON BL,39.311513,-76.675165,2017-09-29
308395,1708516,3232732,Medium,SW,NARCOTICSOutside,P180441973,4100 FREDERICK AV,39.281712,-76.68343399999999,2018-02-13
547829,3095053,3085829,Medium,SW,NARCOTICS INSIDE,P173490575,600 S CHAPELGATE LN,39.276334000000006,-76.70152900000001,2017-12-15
122795,605159,3005610,Medium,ED,NARCOTICSOutside,P173160860,1700 BLK N BETHEL ST,39.309907,-76.596001,2017-11-12
695238,3735411,2672205,Medium,NW,NARCOTICS INSIDE,P171951863,4400 PARK HEIGHTS AV,39.340407,-76.66703299999999,2017-07-14
703983,3744190,2944730,Medium,ED,NARCOTICSOutside,P172931274,2000 BLK JEFFERSON ST,39.296465000000005,-76.58899100000001,2017-10-20
633720,3474817,2747424,Medium,SD,NARCOTICSOutside,P172212872,1800 W PRATT ST,39.285184,-76.64531,2017-08-09
24577,134190,2654612,Medium,WD,NARCOTICSOutside,P171891412,1500 BLK N SMALLWOOD ST,39.305496999999995,-76.65245,2017-07-08
729146,3832166,2934837,Medium,SD,NARCOTICSOutside,P172892038,1300 BLK TOMPKINS ST,39.229839,-76.593262,2017-10-16
348960,1808984,3288559,Medium,WD,NARCOTICSOutside,P180662209,900 N MONROE ST,39.299101,-76.647544,2018-03-07
391255,1916464,3343583,Medium,SW,NARCOTICSOutside,P180892099,1100 POPLAR GROVE ST,39.300357,-76.665255,2018-03-30
596824,3291271,3141885,Medium,SW,NARCOTICS INSIDE,P180082460,4100 FREDERICK AV,39.281712,-76.68343399999999,2018-01-08
374949,1873874,3320907,Medium,ED,NARCOTICSOutside,P180792123,1800 BLK N MONTFORD AV,39.3114,-76.584484,2018-03-20
671193,3649123,2546192,Medium,CD,NARCOTICS INSIDE,P171531605,200 N EUTAW ST,39.292121,-76.621112,2017-06-02
340230,1794181,3258094,Medium,NW,NARCOTICSOutside,P180541501,3200 SPAULDING AV,39.347842,-76.675517,2018-02-23
385740,1900107,3334266,Medium,SD,NARCOTICSOutside,P180860686,600 CHART AV,39.237882,-76.601522,2018-03-27
656629,3569313,2770104,Medium,ND,NARCOTICSOutside,P172293160,2300 MARYLAND AV,39.315758,-76.618212,2017-08-17
467415,2796677,2549122,Medium,WD,NARCOTICSOutside,P171541639,1000 BLK W FRANKLIN ST,39.294354,-76.634252,2017-06-03
323334,1764485,3250419,Medium,ED,NARCOTICSOutside,P180512218,2100 AIKEN ST,39.314128000000004,-76.60033299999999,2018-02-20
349738,1811577,3289461,Medium,CD,NARCOTICSOutside,P180670707,2200 BLK MADISON AV,39.310394,-76.635734,2018-03-08
722470,3825408,2800758,Medium,SW,NARCOTICSOutside,P172402517,3800 FLOWERTON RD,39.298645,-76.680511,2017-08-28
144850,714813,3006567,Medium,CD,NARCOTICS INSIDE,P173161923,1100 W NORTH AV,39.310368,-76.636163,2017-11-12
500603,2899474,3035964,Medium,CD,NARCOTICSOutside,P173281872,2200 BROOKFIELD AV,39.313133,-76.633228,2017-11-24
77709,367783,2922088,Medium,SW,NARCOTICSOutside,P172842798,4100 FREDERICK AV,39.281712,-76.68343399999999,2017-10-11
424557,2001767,3388877,Medium,WD,NARCOTICSOutside,P181062174,500 BLK N CARROLLTON AV,39.294462,-76.637067,2018-04-16
117932,598913,2792879,Medium,WD,NARCOTICSOutside,P172372964,2400 PENNSYLVANIA AV,39.309471,-76.641835,2017-08-25
649173,3561830,2524229,Medium,NE,NARCOTICSOutside,P171460048,6300 BLK ELINORE AV,39.353805,-76.541309,2017-05-26
61028,255987,3183046,Medium,SD,NARCOTICSOutside,P180241979,1900 BLK MCHENRY ST,39.284187,-76.646869,2018-01-24
732478,3835516,2755320,Medium,ED,NARCOTICSOutside,P172242166,2300 E PRESTON ST,39.305709,-76.585103,2017-08-12
181400,913140,2746667,Medium,SW,NARCOTICSOutside,P172212045,100 N KOSSUTH ST,39.288435,-76.673627,2017-08-09
88972,472360,2491986,Medium,WD,NARCOTICSOutside,P171351712,2300 BLK MOSHER ST,39.299527000000005,-76.65401999999999,2017-05-15
161241,797391,2709793,Medium,ED,NARCOTICSOutside,P172081919,2000 KENNEDY AV,39.313140999999995,-76.60427,2017-07-27
50906,242669,2873223,Medium,CD,NARCOTICSOutside,P172671392,1800 PENNSYLVANIA AV,39.304429999999996,-76.635769,2017-09-24
119699,601170,2840077,Medium,WD,NARCOTICSOutside,P172551542,1800 BLK W LEXINGTON ST,39.290564,-76.64583499999999,2017-09-12
539925,3087110,2842912,Medium,ND,NARCOTICSOutside,P172561758,5400 YORK RD,39.356169,-76.60990100000001,2017-09-13
323983,1765297,3273483,Medium,ND,NARCOTICSOutside,P180601750,1400 UNION AV,39.332664,-76.638416,2018-03-01
314775,1723393,3240936,Medium,WD,NARCOTICSOutside,P180472222,100 N FREMONT AV,39.290003000000006,-76.629494,2018-02-16
576347,3270675,2548538,Medium,CD,NARCOTICSOutside,P171540990,2000 MCCULLOH ST,39.308053,-76.63459,2017-06-03
505909,2904850,3182333,Medium,ED,NARCOTICSOutside,P180241229,1800 RUTLAND AV,39.311054,-76.592978,2018-01-24
340497,1794526,3270861,Medium,SD,NARCOTICS INSIDE,P180591857,4100 CURTIS AV,39.228359000000005,-76.587099,2018-02-28
516491,2984066,2813566,Medium,NW,NARCOTICSOutside,P172451236,5300 BLK CORDELIA AV,39.347132,-76.68310699999999,2017-09-02
516162,2983737,2804667,Medium,WD,NARCOTICSOutside,P172420948,1500 BLK MOUNTMOR CT,39.305779,-76.644636,2017-08-30
127673,611564,3169962,Medium,NE,NARCOTICS INSIDE,P180192666,2900 HARFORD RD,39.322852000000005,-76.588555,2018-01-19
179373,910277,2564163,Medium,WD,NARCOTICSOutside,P171591570,800 W LEXINGTON ST,39.291089,-76.630267,2017-06-08
579276,3273616,2622879,Medium,ND,NARCOTICSOutside,P171783136,600 E 38TH ST,39.335570000000004,-76.607099,2017-06-27
378355,1882765,3325142,Medium,ND,NARCOTICS INSIDE,P180812399,5300 YORK RD,39.354463,-76.609868,2018-03-22
73206,361584,2779718,Medium,SW,NARCOTICSOutside,P172331225,2700 WILKENS AV,39.27802,-76.658845,2017-08-21
366601,1853512,3310639,Medium,SD,NARCOTICSOutside,P180752125,CURTIS BAY ELEM MIDDLE,39.2267,-76.588303,2018-03-16
379714,1886218,3326714,Medium,WD,NARCOTICSOutside,P180821240,2800 BLK PROSPECT ST,39.298687,-76.663168,2018-03-23
351444,1816500,3294698,Medium,NW,NARCOTICSOutside,P180690852,3800 W BELVEDERE AV,39.344817,-76.681839,2018-03-10
45100,235064,2698980,Medium,SW,NARCOTICSOutside,P172042536,2700 WILKENS AV,39.27802,-76.658845,2017-07-23
732628,3835666,2780367,Medium,ND,NARCOTICSOutside,P172331927,2700 HUNTINGDON AV,39.319891999999996,-76.622137,2017-08-21
157385,764035,2807414,Medium,WD,NARCOTICSOutside,P172430900,1900 BLK PENROSE AV,39.291227,-76.647571,2017-08-31
548501,3095726,3116455,Medium,ED,NARCOTICSOutside,P173621669,2400 E MONUMENT ST,39.298801,-76.583501,2017-12-28
323667,1764899,3272848,Medium,SD,NARCOTICSOutside,P180601002,1200 W OSTEND ST,39.281708,-76.633992,2018-03-01
175385,890706,2859164,Medium,ED,NARCOTICSOutside,P172621556,1900 HOMEWOOD AV,39.311983000000005,-76.60717700000001,2017-09-19
171370,857589,3168861,Medium,SE,NARCOTICSOutside,P180191484,500 N KENWOOD AV,39.297234,-76.577936,2018-01-19
541367,3088564,2906388,Medium,CD,NARCOTICS INSIDE,P172791172,1500 PENNSYLVANIA AV,39.301922,-76.632707,2017-10-06
180016,911266,2613232,Medium,CD,NARCOTICSOutside,P171751891,1000 N CHARLES ST,39.301219,-76.615921,2017-06-24
479121,2808452,3023436,Medium,NW,NARCOTICSOutside,P173230992,3900 BLK DORCHESTER RD,39.329496,-76.683274,2017-11-19
687577,3665675,3182070,Medium,SW,NARCOTICS INSIDE,P180240923,3400 CLIFTON AV,39.310989,-76.674237,2018-01-24
