,Unnamed: 0,recordId,priority,district,description,callNumber,incidentLocation,Latitude,Longitude,date
433422,2028470,3398758,Medium,SD,NARCOTICSOutside,P180841878,2600 S PACA ST,39.262598,-76.645762,2018-04-20
567864,3185552,3020931,Medium,WD,NARCOTICSOutside,P173220927,1600 BLK N GILMOR ST,39.306875,-76.643401,2017-11-18
209938,1485738,2642083,Medium,NE,NARCOTICS INSIDE,P171851031,2900 HARFORD RD,39.322852000000005,-76.588555,2017-07-04
522689,2990285,3031841,Medium,SW,NARCOTICSOutside,P173262300,2700 WILKENS AV,39.27802,-76.658845,2017-11-22
88604,471857,2505728,Medium,NE,NARCOTICSOutside,P171392989,4200-4222 SHELDON AV,39.328522,-76.564599,2017-05-19
619767,3390725,3047938,Medium,SW,NARCOTICSOutside,P173332019,2100 GARRISON BL,39.311513,-76.675165,2017-11-29
557383,3175037,2673639,Medium,WD,NARCOTICSOutside,P171960058,1200 W NORTH AV,39.310289000000004,-76.63726199999999,2017-07-15
99631,486569,2868538,Medium,NW,NARCOTICSOutside,P172652662,4400 PARK HEIGHTS AV,39.340407,-76.66703299999999,2017-09-22
567334,3185021,3003945,Medium,SW,NARCOTICS INSIDE,P173151521,4100 FREDERICK AV,39.281712,-76.68343399999999,2017-11-11
132515,698892,2594743,Medium,SW,NARCOTICSOutside,P171691262,1800 N ROSEDALE ST,39.308192,-76.669265,2017-06-18
25957,135992,2706015,Medium,WD,NARCOTICSOutside,P172071146,1500 BLK APPLETON ST,39.30533,-76.648767,2017-07-26
424463,2001501,3381889,Medium,NW,NARCOTICSOutside,P181040078,5000 BLK ARBUTUS AV,39.342669,-76.679517,2018-04-14
81772,373233,3072683,Medium,SW,NARCOTICSOutside,P173431512,4100 FREDERICK AV,39.281712,-76.68343399999999,2017-12-09
713032,3788723,2663665,Medium,WD,NARCOTICSOutside,P171922462,2300 MOSHER ST,39.299527000000005,-76.65401999999999,2017-07-11
352620,1819429,3300647,Medium,NE,NARCOTICS INSIDE,P180712117,5900 RADECKE AV,39.330693,-76.532031,2018-03-12
668061,3580791,3193458,Medium,ED,NARCOTICS INSIDE,P180281058,400 N COLLINGTON AV,39.295929,-76.586464,2018-01-28
153377,748029,2792582,Medium,CD,NARCOTICSOutside,P172372642,500 BLK W LANVALE ST,39.302112,-76.62838,2017-08-25
301549,1692946,3222992,Medium,WD,NARCOTICSOutside,P180400785,1500 PENROSE AV,39.291125,-76.641304,2018-02-09
530405,3077551,2547279,Medium,SD,NARCOTICSOutside,P171533189,3000 STRANDEN RD,39.252324,-76.645718,2017-06-02
540403,3087590,2853995,Medium,WD,NARCOTICS INSIDE,P172601526,2200 OREM AV,39.315177,-76.64869200000001,2017-09-17
441550,2057281,3409992,Medium,WD,NARCOTICSOutside,P181141697,2800 BLK WOODBROOK AV,39.314118,-76.64584599999999,2018-04-24
123773,606459,3035545,Medium,CD,NARCOTICS INSIDE,P173281416,1800 PENNSYLVANIA AV,39.304429999999996,-76.635769,2017-11-24
181490,913262,2765685,Medium,SW,NARCOTICSOutside,P172281493,1200 BLK SEMINOLE AV,39.299696000000004,-76.690134,2017-08-16
48439,239386,2797655,Medium,SW,NARCOTICSOutside,P172391943,2700 WILKENS AV,39.27802,-76.658845,2017-08-27
119716,601191,2833246,Medium,SW,NARCOTICS INSIDE,P172522830,2600 WASHINGTON BL,39.26549,-76.653704,2017-09-09
