,Unnamed: 0,recordId,priority,district,description,callNumber,incidentLocation,Latitude,Longitude,date
56719,250218,3048663,Low,SW,INTOXICATED PERS,P173340103,2100 TUCKER LN,39.310629999999996,-76.701297,2017-11-30
56848,250373,3068685,Low,SE,INTOXICATED PERS,P173412765,900 S WOLFE ST,39.281711,-76.589749,2017-12-07
58131,252107,3096416,Low,SD,INTOXICATED PERS,P173532651,800 WASHINGTON BL,39.282940999999994,-76.628751,2017-12-19
58797,252994,3115121,Low,WD,INTOXICATED PERS,P173620135,2500 W FRANKLIN ST,39.293465999999995,-76.656425,2017-12-28
59003,253257,3137487,Medium,SD,INTOXICATED PERS,P180062079,1100 W HAMBURG ST,39.280343,-76.629746,2018-01-06
59109,253402,3137741,Low,SE,INTOXICATED PERS,P180062364,6500 HOLABIRD AV,39.272387,-76.535551,2018-01-06
59618,254115,3123684,Low,ND,INTOXICATED PERS,P173652057,1000 W 36TH ST,39.331078999999995,-76.633032,2017-12-31
59911,254532,3172339,Medium,SE,INTOXICATED PERS,P180202021,EASTERN AV/SB I 100 S,39.287869,-76.610827,2018-01-20
60085,254763,3172859,Low,SD,INTOXICATED PERS,P180202587,3900 8TH ST,39.232364000000004,-76.601385,2018-01-20
60175,254884,3172574,Low,SD,INTOXICATED PERS,P180202339,400 E PATAPSCO AV,39.237203,-76.60518499999999,2018-01-20
60502,255300,3173474,Low,SE,INTOXICATED PERS,P180210192,200 S HIGH ST,39.287528,-76.60260600000001,2018-01-21
61263,256298,3194268,Low,SD,INTOXICATED PERS,P180281988,1500 RUSSELL ST,39.274281,-76.627721,2018-01-28
61977,346388,2454898,Low,CD,INTOXICATED PERS,P171221163,300 BLK W MADISON ST,39.298409,-76.62002,2017-05-02
62537,347824,2457784,Low,ND,INTOXICATED PERS,P171230822,3900 BLK FALLS RD,39.335334,-76.636282,2017-05-03
63107,348533,2477254,Low,SE,INTOXICATED PERS,P171300402,3300 E FAYETTE ST,39.294846,-76.57088399999999,2017-05-10
63258,348729,2500956,Medium,ED,INTOXICATED PERS,P171381261,2200 BLK PRENTISS PL,39.302931,-76.586763,2017-05-18
