,LicenseClass,SubClass,LicenseNumber,LicenseDate,LicenseEndDate,LicenseYear,LicenseFee,CertificateNumber,LicenseStatus,LicenseeFirstName,LicenseeLastName,TradeName,CorpName,EstablishmentDesc,DayPerWeek,Description,AddrStreet,AddrZip,2010 Census Wards Precincts,2010 Census Neighborhoods,Zip Codes,longitude,latitude
20670,LA,BWL,55.0,2017-05-01,2018-04-30,2017,858.0,0506,Renewed,CHIN HYUN,PAK,CHERRY HILL LIQUORS,"VISION CHERRY HILL LIQUORS, INC.",Package goods only,6 days,"Beer, Wine, & Liquor",632 CHERRY HILL ROAD,21225,146.0,47.0,27937.0,39.249998, -76.622923
20671,LBD7,BWL,390.0,2017-05-01,2018-04-30,2017,1320.0,1121,Renewed,KATHLEEN,BURKE,HUCK'S AMERICAN CRAFT,"DAGWOOD, LLC",Tavern,7 days,"Beer, Wine, & Liquor",3728 HUDSON STREET,21224,130.0,17.0,27935.0,39.282626, -76.565134
20672,LBD7,BWL,307.0,2017-05-01,2018-04-30,2017,1320.0,0976,Renewed,JASON,HARKINISH,LIGHTHOUSE TAVERN,"CRP RESTAURANT INVESTMENTS, INC.",Tavern,7 days,"Beer, Wine, & Liquor",1224-26 CLINTON STREET SOUTH,21224,131.0,30.0,27935.0,39.279145, -76.569496
20673,LA,BWL,188.0,2017-05-01,2018-04-30,2017,858.0,0943,Renewed,CHARLES,"HARRELL, JR",DOC'S LIQUOR,"DOC  LIQUORS , INC",Package goods only,6 days,"Beer, Wine, & Liquor",1501 FULTON AVENUE NORTH,21217,36.0,221.0,27301.0,39.305411, -76.646104
20675,LBD7,BWL,337.0,2017-05-01,2018-04-30,2017,1320.0,1032,Renewed,PRINCE,ANAND,HUBCAP INN,"K. ANAND, INC.",Tavern,7 days,"Beer, Wine, & Liquor",6001 BELAIR ROAD,21206,226.0,39.0,13991.0,39.34751, -76.538819
20676,LB,BWL,194.0,2017-05-01,2018-04-30,2017,2000.0,0549,Renewed,KATHRYN D.,BARRETT,CINEBISTRO AT THE ROTUNDA,"COBB THEATRES (ROTUNDA), LLC",Restaurant,7 days,"Beer, Wine, & Liquor",711 40TH STREET WEST,21211,27.0,102.0,14006.0,39.337102, -76.630595
20678,LBD7,BWL,180.0,2017-05-01,2018-04-30,2017,1320.0,0404,Renewed,GARY,SWATKO,MERRITT ATHLETIC CLUB-FORT AVENUE,"FORT AVENUE ENTERTAINMENT, LLC",Tavern,7 days,"Beer, Wine, & Liquor",921 FORT AVENUE EAST,21230,169.0,212.0,27953.0,39.271378, -76.600556
20679,LD,BWL,12.0,2017-05-01,2018-04-30,2017,825.0,0835,Renewed,MARIE,FLURY,DUDA'S TAVERN,,Tavern,6 days,"Beer, Wine, & Liquor",1600 THAMES STREET,21231,286.0,68.0,27954.0,39.281085, -76.594713
20680,WB,BW,12.0,2017-05-01,2018-04-30,2017,165.0,0859,Renewed,JOSEPH BENSON,RAY III,ATOMIC BOOKS,WUNDERPANTS PRODUCTIONS INC.,Restaurant License,7 days,Beer & Light Wine,3616-20 FALLS ROAD,21211,20.0,102.0,14006.0,39.332047, -76.635282
20682,LB,BWL,232.0,2017-05-01,2018-04-30,2017,2500.0,0592,Renewed,SCOTT,TARWATER,MCCORMICK & SCHMICK'S SEAFOOD RESTAURANT,"MCCORMICK & SCHMICK MARYLAND LIQUOR,INC",Restaurant,7 days,"Beer, Wine, & Liquor",711 EASTERN AVENUE,21202,6.0,121.0,13645.0,39.284916, -76.605699
