,LicenseClass,SubClass,LicenseNumber,LicenseDate,LicenseEndDate,LicenseYear,LicenseFee,CertificateNumber,LicenseStatus,LicenseeFirstName,LicenseeLastName,TradeName,CorpName,EstablishmentDesc,DayPerWeek,Description,AddrStreet,AddrZip,2010 Census Wards Precincts,2010 Census Neighborhoods,Zip Codes,longitude,latitude
1445,D,B,3.0,2017-05-01,2018-04-30,2017,200.0,0836,Renewed,EVAN,DVORKIN,PSA BREWERY,"PSA BREWERY, LLC",Brewery,7 days,Beer,4216 SHANNON DRIVE,21213,150.0,52.0,26956.0,39.314528, -76.553661
11619,WD,BW,5.0,2017-05-01,2018-04-30,2017,165.0,0694,Renewed,TSGAKRSTOS,DAFLA,AVENUE GROCERY BEER & WINE,"AVENUE GROCERY BEER & WINE, LLC",Tavern License,7 days,Beer & Light Wine,2327 PENNSYLVANIA AVENUE,21217,22.0,221.0,27301.0,39.309086, -76.641356
11683,LB,BWL,179.0,2017-05-01,2018-04-30,2017,2000.0,0369,Renewed,AMY,GJERDE,WOODBERRY KITCHEN,"WATERSHED, LLC",Restaurant,7 days,"Beer, Wine, & Liquor",2010 CLIPPER PARK ROAD,21211,23.0,262.0,14006.0,39.331867, -76.644314
11904,LB,BWL,234.0,2017-05-01,2018-04-30,2017,1320.0,0603,Renewed,SHIGEHIKO ,OKIEBISU,KIPPO RAMEN,"KIPPO RAMEN, LLC",Restaurant,7 days,"Beer, Wine, & Liquor",606 BROADWAY SOUTH,21231,286.0,68.0,27954.0,39.284216, -76.593517
12068,WD,BW,19.0,2017-05-01,2018-04-30,2017,165.0,0852,Renewed,TUSSNEE,SINGPARU,KIKU SUSHI,MI HEE CORPORATION,Tavern License,7 days,Beer & Light Wine,1017 LIGHT STREET,21230,165.0,67.0,27953.0,39.277829, -76.612479
17535,LB,BWL,155.0,2017-05-01,2018-04-30,2017,2020.0,0181,Renewed,CHARLES ,GJERDE ,WICKED SISTERS,"WICKED SISTERS, LLC",Restaurant,7 days,"Beer, Wine, & Liquor",3845 FALLS RD,21211,20.0,102.0,14006.0,39.334982, -76.636192
17540,LBD7,BWL,25.0,2017-05-01,2018-04-30,2017,1320.0,0223,Renewed,MICHAEL ,SABRACOS,O'HARA'S IRISH PUB,"CITY LINE FOOD, INC.",Tavern,7 days,"Beer, Wine, & Liquor",6506-10 BELAIR ROAD,21206,226.0,39.0,13991.0,39.35364, -76.531944
17543,LB,BWL,123.0,2017-05-01,2018-04-30,2017,2320.0,0141,Renewed,YU MEI,LEE,UNCLE LEE'S,"UNCLE LEE'S AT THE HARBOR, INC.",Restaurant,7 days,"Beer, Wine, & Liquor",44 SOUTH STREET,21202,6.0,65.0,13645.0,39.288048, -76.610847
17547,LB,BWL,6.0,2017-05-01,2018-04-30,2017,2500.0,0011,Renewed,PATRICK,MORROW,RYLEIGH'S OYSTER,"CATHEDRAL-PRESTON, LLC",Restaurant,7 days,"Beer, Wine, & Liquor",1225 CATHEDRAL STREET,21201,95.0,151.0,13642.0,39.30414, -76.618583
17548,LBD7,BWL,99.0,2017-05-01,2018-04-30,2017,1320.0,0302,Renewed,ROBERT,OURSLER,SPRINGHILL SUITES,"PALMETTO HOSPITALITY OF BALTIMORE I, LLC",Tavern,7 days,"Beer, Wine, & Liquor",16 CALVERT STREET SOUTH,21202,6.0,65.0,13645.0,39.289067, -76.612257
17551,LB,BWL,167.0,2017-05-01,2018-04-30,2017,1520.0,0265,Renewed,DAVID ,KEY ,BOZ'S BURGERS,"BOZ'S BURGERS,LLC",Restaurant,7 days,"Beer, Wine, & Liquor",3101 ST. PAUL STREET,21218,35.0,277.0,27307.0,39.325956, -76.615832
17553,LB,BWL,132.0,2017-05-01,2018-04-30,2017,2020.0,0152,Renewed,AMANDA R.,SHECKARD,MERRITT ATHLETIC CLUB DOWNTOWN,"ROUND ROBIN CAFE, INC.",Restaurant,7 days,"Beer, Wine, & Liquor",210 CENTRE STREET EAST,21202,92.0,165.0,13645.0,39.296478, -76.611953
17555,LB,BWL,121.0,2017-05-01,2018-04-30,2017,1320.0,0138,Renewed,GERARD B.,SMITH,P.J.'S PUB,"P.J. PUB, INC.",Restaurant,7 days,"Beer, Wine, & Liquor",3333 CHARLES STREET NORTH,21218,176.0,277.0,27307.0,39.328621, -76.617681
17559,LB,BWL,160.0,2017-05-01,2018-04-30,2017,7200.0,0187,Renewed,JASON,CURTIS,HOTEL INDIGO BALTIMORE - MT. VERNON,"MVH BALTIMORE HOTEL, LLC",Restaurant,7 days,"Beer, Wine, & Liquor",24 FRANKLIN STREET WEST,21201,6.0,165.0,13642.0,39.29509, -76.616465
17561,LBD7,BWL,51.0,2017-05-01,2018-04-30,2017,1320.0,0250,Renewed,ORVIL P.,MILLER,THE BAMBOU,UNITY ENTERPRISES LLC,Tavern,7 days,"Beer, Wine, & Liquor",229 FRANKLINTOWN ROAD NORTH,21223,77.0,197.0,27632.0,39.290767, -76.660838
17562,LBHM,BWL,10.0,2017-05-01,2018-04-30,2017,7200.0,0196,Renewed,TIZITA ,EPHREM,FAIRFIELD INN & SUITES,MHF BALTIMORE DT OPERATING V LLC,Hotel/Motel,7 days,"Beer, Wine, & Liquor",101 PRESIDENT STREET SOUTH,21202,110.0,110.0,13645.0,39.288176, -76.604647
17568,LBD7,BWL,78.0,2017-05-01,2018-04-30,2017,1320.0,0281,Renewed,SANG KYU,AHN,AVENUE LIQUOR & BAR,,Tavern,7 days,"Beer, Wine, & Liquor",1238 GREENMOUNT AVENUE,21202,104.0,124.0,13645.0,39.304749, -76.608167
17571,LB,BWL,145.0,2017-05-01,2018-04-30,2017,1520.0,0167,Renewed,HARRY R.,"MILLER, IV",ABBEY BURGER BISTRO,"ABBEY BISTRO, LLC.",Restaurant,7 days,"Beer, Wine, & Liquor",1041-43 MARSHALL STREET,21230,175.0,67.0,27953.0,39.277141, -76.613031
17573,LB,BWL,16.0,2017-05-01,2018-04-30,2017,2020.0,0024,Renewed,BRIAN G.,LOGAN,POINT IN FELLS,"POINT IN FELLS, LLC",Restaurant,7 days,"Beer, Wine, & Liquor",1734 THAMES STREET,21231,286.0,68.0,27954.0,39.281883, -76.591393
17575,LBHM,BWL,9.0,2017-05-01,2018-04-30,2017,7200.0,0195,Renewed,ASHLEY ,RODRIGUEZ,RADISSON HOTEL BALTIMORE& CROWNE PLAZA HOTEL,"MCSAM BALTIMORE HOTEL, LLC",Hotel/Motel,7 days,"Beer, Wine, & Liquor",101 FAYETTE STREET WEST,21201,6.0,65.0,13642.0,39.290365, -76.616883
17579,LB,BWL,131.0,2017-05-01,2018-04-30,2017,1800.0,0151,Renewed,VINCENT,CULOTTA,SABATINO'S RESTAURANT,"SABATINO'S, INC.",Restaurant,7 days,"Beer, Wine, & Liquor",901-05 FAWN STREET,21202,109.0,57.0,13645.0,39.286431, -76.601491
17582,LB,BWL,107.0,2017-05-01,2018-04-30,2017,2800.0,0124,Renewed,KYLE ,KESSENICH ,FLAVOR,"FLAVOR, LLC",Restaurant,7 days,"Beer, Wine, & Liquor",15 CENTRE STREET EAST,21202,92.0,165.0,13645.0,39.296398, -76.614668
17583,LBD7,BWL,63.0,2017-05-01,2018-04-30,2017,1320.0,0262,Renewed,DAVIDE,PARRAVANO,K&D SPORTS BAR AND LOUNGE,"CONKLING HOLDINGS, INC.",Tavern,7 days,"Beer, Wine, & Liquor",200 CONKLING STREET SOUTH,21224,140.0,109.0,27935.0,39.290166, -76.567384
17599,LBD7,BWL,22.0,2017-05-01,2018-04-30,2017,1320.0,0219,Renewed,JAMES R.,HIBLER,WILSON'S TAVERN,"4537 HARFORD ROAD WILSON'S, LLC",Tavern,7 days,"Beer, Wine, & Liquor",4537 HARFORD ROAD,21214,188.0,18.0,27291.0,39.341766, -76.570613
17600,LB,BWL,73.0,2017-05-01,2018-04-30,2017,2350.0,0086,Renewed,DAVID,KOLPER,BIRROTECA,"KOLPER PROPERTIES, INC.",Restaurant,7 days,"Beer, Wine, & Liquor",1520 CLIPPER ROAD,21211,20.0,125.0,14006.0,39.326699, -76.636788
17602,LM-G,BWL,1.0,2017-05-01,2018-04-30,2017,600.0,0101,Renewed,JONATHON W.,LADD,PINE RIDGE GOLF COURSE,BALTIMORE MUNICIPAL GOLF CORPORATION,Municipal Golf Course,,"Beer, Wine, & Liquor",6131 HILLEN ROAD,21239,269.0,64.0,28564.0,39.371945, -76.57907
17610,LB,BWL,161.0,2017-05-01,2018-04-30,2017,2000.0,0188,Renewed,EDDIE,JARVIS,ON THE BORDER,"OTB ACQUISITION, LLC",Restaurant,7 days,"Beer, Wine, & Liquor",3801 BOSTON STREET,21224,131.0,31.0,27935.0,39.27719, -76.562708
17611,LB,BWL,98.0,2017-05-01,2018-04-30,2017,1820.0,0115,Renewed,DORIS ,BOOKER ,MACEO'S,MACEO'S,Restaurant,7 days,"Beer, Wine, & Liquor",1924-26 MONROE STREET NORTH,21217,39.0,157.0,27301.0,39.310737, -76.648206
17613,LBD7,BWL,8.0,2017-05-01,2018-04-30,2017,1820.0,0204,Renewed,RICHARD A,SWIRNOW,TABRIZI'S RESTAURANT & DIPASQUALE'S DELI,"PARKWAY SWIRNOW, INC.",Tavern,7 days,"Beer, Wine, & Liquor",1221 KEY HIGHWAY,21230,171.0,212.0,27953.0,39.275881, -76.606138
17617,LBD7,BWL,7.0,2017-05-01,2018-04-30,2017,1320.0,0203,Renewed,JENNIFER,ST. GERMAIN,BIN 604 WINE SELLERS,"WINECO, LLC",Tavern,7 days,"Beer, Wine, & Liquor",1001 FLEET STREET,21202,109.0,121.0,13645.0,39.284276, -76.599747
17618,LB,BWL,55.0,2017-05-01,2018-04-30,2017,2500.0,0066,Renewed,MARWAN S.,DAAS,RYAN'S DAUGHTER IRISH PUB,"ILIAD, LLC",Restaurant,7 days,"Beer, Wine, & Liquor",600 BELVEDERE AVENUE EAST,21212,257.0,271.0,14009.0,39.364165, -76.60768
17623,LB,BWL,78.0,2017-05-01,2018-04-30,2017,2500.0,0091,Renewed,MARIO,CORRADO,ADMIRAL FELL INN,"MJ FELLS POINT, LLC",Restaurant,7 days,"Beer, Wine, & Liquor",818 BROADWAY SOUTH,21231,286.0,68.0,27954.0,39.281859, -76.593423
17624,WD,BW,1.0,2017-05-01,2018-04-30,2017,165.0,0023,Renewed,RAJPAL,SINGH,SPARTAN PIZZERIA RESTAURANT,PAL BROTHERS INC,Tavern License,7 days,Beer & Light Wine,3600-02 EASTERN AVENUE,21224,130.0,17.0,27935.0,39.28661, -76.566892
17627,LM-G,BWL,2.0,2017-05-01,2018-04-30,2017,600.0,0102,Renewed,JONATHON W.,LADD,FOREST PARK GOLF COURSE,BALTIMORE MUNICIPAL GOLF CORPORATION,Municipal Golf Course,,"Beer, Wine, & Liquor",2900 HILLSDALE ROAD,21207,289.0,45.0,13995.0,39.322028, -76.698948
17633,LBHM,BWL,3.0,2017-05-01,2018-04-30,2017,7200.0,0189,Renewed,CRAIG,ZISSEL,HILTON BALTIMORE,"HILTON MANAGEMENT, LLC",Hotel/Motel,7 days,"Beer, Wine, & Liquor",401 PRATT STREET WEST,21201,5.0,241.0,13642.0,39.286264, -76.620929
17636,LB,BWL,134.0,2017-05-01,2018-04-30,2017,3000.0,0156,Renewed,BRICE S.,PHILLIPS,PHILLIPS SEAFOOD,"PHILLIPS SEAFOOD BALTIMORE, LLC",Restaurant,7 days,"Beer, Wine, & Liquor",601 PRATT STREET EAST,21202,6.0,121.0,13645.0,39.286765, -76.607217
17637,LB,BWL,40.0,2017-05-01,2018-04-30,2017,1820.0,0049,Renewed,MARGARET,ANDERSON,FRED & MARGIE'S INN,"MARGE'S INN, INC.",Restaurant,7 days,"Beer, Wine, & Liquor",3603-05 FAIRHAVEN AVENUE,21226,37.0,61.0,27939.0,39.232088, -76.590628
17642,LB,BWL,8.0,2017-05-01,2018-04-30,2017,1320.0,0015,Renewed,JAMES ,SHAFFER ,ARGOSY CAFE,"SHAFFER INVESTMENT  GROUP, LLC",Restaurant,7 days,"Beer, Wine, & Liquor",7 CALVERT STREET  NORTH,21202,6.0,65.0,13645.0,39.290127, -76.61231
17656,LB,BWL,105.0,2017-05-01,2018-04-30,2017,2020.0,0122,Renewed,MONDELL,POWELL,TEAVOLVE,"TEA-OLOGY, LLC",Restaurant,7 days,"Beer, Wine, & Liquor",701 EDEN STREET SOUTH,21231,109.0,121.0,27954.0,39.282802, -76.598128
17660,LBD7,BWL,25.0,2017-05-01,2018-04-30,2017,1320.0,0223,Renewed,CHRISTOPHER ,SHEFFERT ,O'HARA'S IRISH PUB,"CITY LINE FOOD, INC.",Tavern,7 days,"Beer, Wine, & Liquor",6506-10 BELAIR ROAD,21206,226.0,39.0,13991.0,39.35364, -76.531944
17663,LB,BWL,52.0,2017-05-01,2018-04-30,2017,2000.0,0063,Renewed,DAVID ,LICHTY,MT. WASHINGTON TAVERN,"FRISCHBONE, LLC",Restaurant,7 days,"Beer, Wine, & Liquor",5700-02 NEWBURY STREET,21209,273.0,168.0,14001.0,39.367621, -76.652261
17666,LB,BWL,54.0,2017-05-01,2018-04-30,2017,1320.0,0065,Renewed,GEORGETTE,STAVRAKAS,DARBAR RESTAURANT,"BEST THAI, INC.",Restaurant,7 days,"Beer, Wine, & Liquor",1909-13 ALICEANNA STREET,21231,286.0,68.0,27954.0,39.283689, -76.589586
17669,LBD7,BWL,18.0,2017-05-01,2018-04-30,2017,1320.0,0214,Renewed,RODNEY C.,WILLIAMS,THREE W'S TAVERN,"THREE W'S TAVERN, LLC",Tavern,7 days,"Beer, Wine, & Liquor",2518 MONUMENT STREET EAST,21205,125.0,141.0,13987.0,39.298863, -76.581675
17685,LBHM,BWL,3.0,2017-05-01,2018-04-30,2017,7200.0,0189,Renewed,JOSEPH G.,"BERGER, JR. ",HILTON BALTIMORE,"HILTON MANAGEMENT, LLC",Hotel/Motel,7 days,"Beer, Wine, & Liquor",401 PRATT STREET WEST,21201,5.0,241.0,13642.0,39.286264, -76.620929
17687,LB,BWL,81.0,2017-05-01,2018-04-30,2017,1320.0,0094,Renewed,JOHN,ANTONOPOULOS,FISH LIPS CORNER,FISH LIPS CORNER LLC,Restaurant,7 days,"Beer, Wine, & Liquor",850 36TH STREET WEST,21211,73.0,102.0,14006.0,39.331167, -76.631078
17690,LBHM,BWL,6.0,2017-05-01,2018-04-30,2017,7720.0,0192,Renewed,MARK S.,HOPLAMAZIAN,HYATT REGENCY BALTIMORE,HYATT HOTELS CORPORATION OF MARYLAND,Hotel/Motel,7 days,"Beer, Wine, & Liquor",300 LIGHT STREET,21202,3.0,241.0,13645.0,39.284966, -76.613389
17707,LBD7,BWL,5.0,2017-05-01,2018-04-30,2017,1320.0,0201,Renewed,VERONICA,JACKSON,ROOTS UNLTD.,"JACKSON LOUNGE, INC.",Tavern,7 days,"Beer, Wine, & Liquor",2148-52 VINE STREET,21223,80.0,197.0,27632.0,39.289877, -76.650854
17711,LB,BWL,40.0,2017-05-01,2018-04-30,2017,1820.0,0049,Renewed,MARIE ANN,OAKES,FRED & MARGIE'S INN,"MARGE'S INN, INC.",Restaurant,7 days,"Beer, Wine, & Liquor",3603-05 FAIRHAVEN AVENUE,21226,37.0,61.0,27939.0,39.232088, -76.590628
17718,LBD7,BWL,94.0,2017-05-01,2018-04-30,2017,1820.0,0297,Renewed,CYRIL N.,EZEAKOR,VASACHY,"25TH ROLAND BILLIARDS, INC",Tavern,7 days,"Beer, Wine, & Liquor",2445 CHARLES STREET  NORTH,21218,11.0,278.0,27307.0,39.317662, -76.616978
17720,WA,BW,1.0,2017-05-01,2018-04-30,2017,110.0,0014,Renewed,DO JA ,HAN,RONNIE'S GROCERY & SUB SHOP,"JAE AND SOO, INC.",Package goods only,6 days,Beer & Light Wine,1 BARNEY STREET WEST,21230,173.0,222.0,27953.0,39.26947, -76.614031
17728,LBD7,BWL,97.0,2017-05-01,2018-04-30,2017,1320.0,0300,Renewed,FAITH,BAZEMORE,GLASS DOOR LOUNGE,"GLASS DOOR LOUNGE, INC.",Tavern,7 days,"Beer, Wine, & Liquor",1263 FAYETTE STREET EAST,21202,110.0,110.0,13645.0,39.2924, -76.599969
17729,LB,BWL,56.0,2017-05-01,2018-04-30,2017,2500.0,0068,Renewed,ALAN,DONATELLI,RUSTY SCUPPER,INNER HARBOR RESTAURANT CORPORATION,Restaurant,7 days,"Beer, Wine, & Liquor",402 KEY HIGHWAY,21230,2.0,67.0,27953.0,39.28084, -76.607227
17732,LBAL,BWL,3.0,2017-05-01,2018-04-30,2017,12700.0,0179,Renewed,JOSEPH,BRZUCHALSKI,PATAPSCO FLEA MARKET,"MANAGEMENT, INC.",Arena,7 days,"Beer, Wine, & Liquor",3301 ANNAPOLIS ROAD,21230,162.0,47.0,27953.0,39.250461, -76.639407
17735,LB,BWL,68.0,2017-05-01,2018-04-30,2017,1520.0,0081,Renewed,MAHRDAD,TABASI,OZRA,"RAYMAX, INC.",Restaurant,7 days,"Beer, Wine, & Liquor",806 STILES STREET,21202,109.0,57.0,13645.0,39.286592, -76.60303
17737,LB,BWL,79.0,2017-05-01,2018-04-30,2017,2000.0,0092,Renewed,ANTONINO,GERMANO,LA SCALA RISTORANTE ITALIANO,"BAFIA, INC.",Restaurant,7 days,"Beer, Wine, & Liquor",1012 EASTERN AVENUE,21202,109.0,57.0,13645.0,39.285298, -76.599771
17749,LB,BWL,41.0,2017-05-01,2018-04-30,2017,1800.0,0050,Renewed,BRYAN L.,CHIAPPARELLI,CHIAPPARELLI'S RESTAURANT,"CHIAPPARELLI'S, INC.",Restaurant,7 days,"Beer, Wine, & Liquor",237 HIGH STREET SOUTH,21202,109.0,57.0,13645.0,39.286544, -76.601973
17756,LB,BWL,19.0,2017-05-01,2018-04-30,2017,1820.0,0027,Renewed,ANTHONY P.,CHEMMANOOR,INDIGMA,"BOMBAY GRILL OF BALTIMORE, INC.",Restaurant,7 days,"Beer, Wine, & Liquor",801 CHARLES STREET NORTH,21201,91.0,165.0,13645.0,39.29876, -76.615751
17763,LBD7,BWL,67.0,2017-05-01,2018-04-30,2017,1320.0,0270,Renewed,JERRY,STERN,O'CONNORS,4801 EASTERN AVENUE CORPORATION,Tavern,7 days,"Beer, Wine, & Liquor",4801 EASTERN AVENUE,21224,139.0,203.0,27935.0,39.287071, -76.555604
17764,LB,BWL,13.0,2017-05-01,2018-04-30,2017,2500.0,0020,Renewed,STEPHEN A,SUSER,SASCHA'S 527 CAFE,"SASCHA'S, LTD",Restaurant,7 days,"Beer, Wine, & Liquor",527 CHARLES STREET NORTH,21201,92.0,165.0,13645.0,39.296091, -76.615581
17766,LBD7,BWL,90.0,2017-05-01,2018-04-30,2017,1320.0,0293,Renewed,DHRUBA RAJ,ONTA,BRISTOL LIQUORS,BDU NEPAL LLC,Tavern,7 days,"Beer, Wine, & Liquor",501 BROADWAY SOUTH,21231,286.0,68.0,27954.0,39.285447, -76.593363
17772,LB,BWL,146.0,2017-05-01,2018-04-30,2017,1520.0,0168,Renewed,JEFFREY,BERNSTEIN,TAVERN ON THE HILL,"BAGEL BOYS OF BALTIMORE, LLC",Restaurant,7 days,"Beer, Wine, & Liquor",900 CATHEDRAL STREET SUITE 3,21201,93.0,151.0,13642.0,39.300085, -76.617342
17784,LBD7,BWL,48.0,2017-05-01,2018-04-30,2017,1320.0,0247,Renewed,ANA C.,CUSHING,CAT'S EYE PUB,CAT'S EYE LTD.,Tavern,7 days,"Beer, Wine, & Liquor",1730 THAMES STREET,21231,286.0,68.0,27954.0,39.281875, -76.591526
17790,LB,BWL,83.0,2017-05-01,2018-04-30,2017,1820.0,0096,Renewed,MARY ANN,CRICCHIO,DA MIMMO FINEST ITALIAN CUISINE,"IL MONDO, INC.",Restaurant,7 days,"Beer, Wine, & Liquor",215-17 HIGH STREET SOUTH,21202,109.0,57.0,13645.0,39.287096, -76.602327
17792,LBD7,BWL,6.0,2017-05-01,2018-04-30,2017,1320.0,0202,Renewed,DAVID,HITCHINER,CHASERS,"CHASERS, LLC",Tavern,7 days,"Beer, Wine, & Liquor",2501-03 FLEET STREET,21224,116.0,30.0,27935.0,39.285057, -76.581204
17795,LBHM,BWL,4.0,2017-05-01,2018-04-30,2017,7200.0,0190,Renewed,ALNASHIR,TEJANI,RADISSON HOTEL AT CROSS KEYS,SHAZALINA HOSPITALITY CORPORATION,Hotel/Motel,7 days,"Beer, Wine, & Liquor",5050 FALLS ROAD,21210,254.0,214.0,14004.0,39.354222, -76.643676
17797,LB,BWL,12.0,2017-05-01,2018-04-30,2017,3000.0,0019,Renewed,THOMAS J.,GISPANSKI,HARD ROCK CAFE,"HARD ROCK CAFE INTERNATIONAL (STP), INC.",Restaurant,7 days,"Beer, Wine, & Liquor",601 PRATT STREET EAST,21202,6.0,121.0,13645.0,39.286765, -76.607217
17802,LB,BWL,98.0,2017-05-01,2018-04-30,2017,1820.0,0115,Renewed,YAKOB,GEBREYONES ,MACEO'S,MACEO'S,Restaurant,7 days,"Beer, Wine, & Liquor",1924-26 MONROE STREET NORTH,21217,39.0,157.0,27301.0,39.310737, -76.648206
17808,WB,BW,3.0,2017-05-01,2018-04-30,2017,165.0,0056,Renewed,NANCY W.,CUSHMAN,MEADOW MILL ATHLETIC CLUB,"MEADOW MILL ATHLETIC CLUB, INC.",Restaurant License,7 days,Beer & Light Wine,3600 CLIPPER MILL ROAD,21211,20.0,125.0,14006.0,39.330639, -76.641207
17809,LB,BWL,29.0,2017-05-01,2018-04-30,2017,1520.0,0037,Renewed,JACQUELINE,MCCUSKER,MAMA'S ON THE HALF SHELL,"BLAZE, INC.",Restaurant,7 days,"Beer, Wine, & Liquor",2901 O'DONNELL STREET,21224,115.0,30.0,27935.0,39.280049, -76.575254
17810,LB,BWL,53.0,2017-05-01,2018-04-30,2017,1320.0,0064,Renewed,GIUSEPPINA,AURIEMMA,CHEF PAOLINO CAFE,"DEL-DI, INC.",Restaurant,7 days,"Beer, Wine, & Liquor",100 CHARLES STREET SOUTH,21201,6.0,241.0,13645.0,39.287208, -76.614951
17811,LBD7,BWL,73.0,2017-05-01,2018-04-30,2017,1320.0,0276,Renewed,ERIC,COTTON,PICKLES PUB,"PICKLES VENTURES, INC.",Tavern,7 days,"Beer, Wine, & Liquor",516-20 WASHINGTON BOULEVARD,21230,1.0,241.0,27953.0,39.285446, -76.622688
17815,LB,BWL,95.0,2017-05-01,2018-04-30,2017,2500.0,0112,Renewed,WILLIAM S.,MARTENS III,SULLIVAN'S STEAKHOUSE,"SULLIVAN'S OF BALTIMORE, INC.",Restaurant,7 days,"Beer, Wine, & Liquor","1 PRATT STREET EAST, SUITE 102",21202,3.0,241.0,13645.0,39.286517, -76.614211
17816,LB,BWL,31.0,2017-05-01,2018-04-30,2017,1320.0,0039,Renewed,ERIC,LEVITT,ONE STAR COUNTRY CLUB,"38 CROSS, LLC",Restaurant,7 days,"Beer, Wine, & Liquor",38 CROSS STREET EAST,21230,175.0,67.0,27953.0,39.276972, -76.613067
17818,LBD7,BWL,78.0,2017-05-01,2018-04-30,2017,1320.0,0281,Renewed,SANG KIL,AHN,AVENUE LIQUOR & BAR,,Tavern,7 days,"Beer, Wine, & Liquor",1238 GREENMOUNT AVENUE,21202,104.0,124.0,13645.0,39.304749, -76.608167
17820,LBD7,BWL,84.0,2017-05-01,2018-04-30,2017,1320.0,0287,Renewed,DENNIS M.,CLARKE,CLADDAGH PUB,"DVML, INC.",Tavern,7 days,"Beer, Wine, & Liquor",2918 O'DONNELL STREET,21224,115.0,30.0,27935.0,39.280374, -76.574803
17822,LB,BWL,129.0,2017-05-01,2018-04-30,2017,2500.0,0149,Renewed,JOHN ,STEIN ,WORLD OF BEER,"STAY THIRSTY,LLC",Restaurant,7 days,"Beer, Wine, & Liquor",1724 WHETSTONE WAY,21230,169.0,138.0,27953.0,39.268817, -76.599813
17825,WB,BW,8.0,2017-05-01,2018-04-30,2017,165.0,0170,Renewed,BOK RYE,OH,CHARLIE & DEE CARRYOUT,,Restaurant License,7 days,Beer & Light Wine,1539 BUSH STREET,21230,177.0,32.0,27953.0,39.275593, -76.634313
17831,LB,BWL,117.0,2017-05-01,2018-04-30,2017,1320.0,0134,Renewed,NIALL,O'DONNELL,LIFE OF REILLY IRISH PUB & RESTAURANT,"LIFE OF REILLY, INC.",Restaurant,7 days,"Beer, Wine, & Liquor",2031 FAIRMOUNT AVENUE EAST,21231,120.0,27.0,27954.0,39.292871, -76.588358
17832,LM-G,BWL,4.0,2017-05-01,2018-04-30,2017,600.0,0104,Renewed,JONATHON W.,LADD,MOUNT PLEASANT GOLF COUSE,BALTIMORE MUNICIPAL GOLF CORPORATION,Municipal Golf Course,,"Beer, Wine, & Liquor",6001 HILLEN ROAD,21239,268.0,170.0,28564.0,39.363692, -76.577699
17840,LB,BWL,51.0,2017-05-01,2018-04-30,2017,1520.0,0062,Renewed,PAULETTE ,WALLEN-JONES ,NOODLES  &  COMPANY,NOODLE  SHOP  CO. - BALTIMORE  COUNTY  LLC.,Restaurant,7 days,"Beer, Wine, & Liquor", HARBORPLACE-301 LIGHT STREET,21201,3.0,121.0,13645.0,39.285066, -76.613129
17843,LB,BWL,19.0,2017-05-01,2018-04-30,2017,1820.0,0027,Renewed,DIANE,HICKS,INDIGMA,"BOMBAY GRILL OF BALTIMORE, INC.",Restaurant,7 days,"Beer, Wine, & Liquor",801 CHARLES STREET NORTH,21201,91.0,165.0,13645.0,39.29876, -76.615751
17847,LB,BWL,143.0,2017-05-01,2018-04-30,2017,1320.0,0165,Renewed,ARMANDO VIVAR,ROSALES,LA SIRENITA RESTAURANT II,"LA SIRENITA RESTAURANT IV, INC.",Restaurant,7 days,"Beer, Wine, & Liquor",3916 EASTERN AVENUE,21224,130.0,17.0,27935.0,39.286743, -76.563793
17848,LBD7,BWL,89.0,2017-05-01,2018-04-30,2017,1320.0,0292,Renewed,JOHN D.,KOCOVINOS,KOCO'S PUB,"KOCO'S PUB, INC.",Tavern,7 days,"Beer, Wine, & Liquor",4301 HARFORD ROAD,21214,192.0,3.0,27291.0,39.338701, -76.573441
17851,LB,BWL,126.0,2017-05-01,2018-04-30,2017,1320.0,0146,Renewed,DAVID S.,ROTZ,BROOKEY'S RESTAURANT,"BAARDVARK, INC.",Restaurant,7 days,"Beer, Wine, & Liquor",4201 BELAIR ROAD,21206,203.0,275.0,13991.0,39.327785, -76.565806
17854,LB,BWL,136.0,2017-05-01,2018-04-30,2017,2300.0,0158,Renewed,TEGIST,AYALEW,WARE HOUSE 518,"EZ GROUP, LLC",Restaurant,7 days,"Beer, Wine, & Liquor",518 CHARLES STREET NORTH,21201,92.0,165.0,13645.0,39.295837, -76.61557
17864,LB,BWL,116.0,2017-05-01,2018-04-30,2017,2300.0,0133,Renewed,WILLIAM,"CAPERS, JR.",FIVE MILE HOUSE,"CAPERS, LLC",Restaurant,7 days,"Beer, Wine, & Liquor",5302 REISTERSTOWN ROAD,21215,59.0,263.0,27295.0,39.345203, -76.686753
17868,LBD7,BWL,63.0,2017-05-01,2018-04-30,2017,1320.0,0262,Renewed,IVANO,PARRAVANO,K&D SPORTS BAR AND LOUNGE,"CONKLING HOLDINGS, INC.",Tavern,7 days,"Beer, Wine, & Liquor",200 CONKLING STREET SOUTH,21224,140.0,109.0,27935.0,39.290166, -76.567384
17877,LB,BWL,163.0,2017-05-01,2018-04-30,2017,1820.0,0220,Renewed,BARBARA,VASSELL,CARIBBEAN PARADISE,PARADISE CORP.,Restaurant,7 days,"Beer, Wine, & Liquor",1818 CHARLES STREET NORTH,21201,158.0,44.0,13642.0,39.310492, -76.616515
